variant_id,model_parsed,gnn_stage,ratio_cat,card_bin,n,mean_rank,median_rank,std_rank,iqr_rank
tabnet::start,tabnet,start,few,>10,9,11.183333333333334,10.33,2.8732994970938894,3.9499999999999993
tabtransformer::columnwise,tabtransformer,columnwise,few,2,291,10.670206185567011,11.5,3.8091610025762654,6.94
tabtransformer::columnwise,tabtransformer,columnwise,few,3-10,18,10.206666666666667,11.5,4.841990354000645,7.23
tabtransformer::columnwise,tabtransformer,columnwise,few,>10,9,10.206666666666667,11.5,4.991009416941627,7.23
tabtransformer::decoding,tabtransformer,decoding,few,2,291,9.28254295532646,7.4,3.413620950521328,5.39
tabtransformer::decoding,tabtransformer,decoding,few,3-10,18,9.977777777777778,7.4,4.374895703705479,5.740000000000001
tabtransformer::decoding,tabtransformer,decoding,few,>10,9,9.977777777777778,7.4,4.509539271859648,5.740000000000001
tabtransformer::encoding,tabtransformer,encoding,few,2,291,10.127525773195877,8.17,3.669628196217076,7.32
tabtransformer::encoding,tabtransformer,encoding,few,3-10,18,10.284444444444444,8.17,3.7320176253007635,6.5
tabtransformer::encoding,tabtransformer,encoding,few,>10,9,10.284444444444444,8.17,3.846875716445461,6.5
tabtransformer::materialize,tabtransformer,materialize,few,2,291,10.487835051546393,7.78,4.658243910672656,8.65
tabtransformer::materialize,tabtransformer,materialize,few,3-10,18,10.75,7.78,5.333218871320749,9.85
tabtransformer::materialize,tabtransformer,materialize,few,>10,9,10.75,7.78,5.497356182748212,9.85
tabtransformer::start,tabtransformer,start,few,2,291,10.940034364261168,9.67,3.3924423607820997,6.59
tabtransformer::start,tabtransformer,start,few,3-10,18,11.662222222222221,11.0,3.8924777464406835,6.59
tabtransformer::start,tabtransformer,start,few,>10,9,11.662222222222221,11.0,4.012274223485284,6.59
trompt::columnwise,trompt,columnwise,few,2,291,10.993883161512027,10.7,1.241578128178271,1.5899999999999999
trompt::columnwise,trompt,columnwise,few,3-10,18,11.32,11.43,1.552652379563663,1.83
trompt::columnwise,trompt,columnwise,few,>10,9,11.32,11.43,1.6004374402018966,1.83
trompt::decoding,trompt,decoding,few,2,291,9.097835051546392,5.33,5.859522263709305,10.91
trompt::decoding,trompt,decoding,few,3-10,18,9.270000000000001,5.33,6.716783193656637,11.82
trompt::decoding,trompt,decoding,few,>10,9,9.270000000000001,5.33,6.9235016429549585,11.82
trompt::encoding,trompt,encoding,few,2,291,10.008316151202749,10.0,1.0394018089234847,1.040000000000001
trompt::encoding,trompt,encoding,few,3-10,18,10.282222222222224,10.0,1.3488886735363934,0.7300000000000004
trompt::encoding,trompt,encoding,few,>10,9,10.282222222222224,10.0,1.3904026195474624,0.7300000000000004
trompt::materialize,trompt,materialize,few,2,291,10.30085910652921,9.17,3.593295521894459,4.639999999999999
trompt::materialize,trompt,materialize,few,3-10,18,10.772222222222222,9.17,4.331196758342562,8.1
trompt::materialize,trompt,materialize,few,>10,9,10.772222222222222,9.17,4.464495429994798,8.1
trompt::start,trompt,start,few,2,291,9.609759450171822,8.17,2.951371442264107,5.17
trompt::start,trompt,start,few,3-10,18,10.34,9.0,3.4426460411587314,5.17
trompt::start,trompt,start,few,>10,9,10.34,9.0,3.548598314827983,5.17
vime::columnwise,vime,columnwise,few,2,291,9.825429553264604,10.17,2.3603078563858357,3.8599999999999994
vime::columnwise,vime,columnwise,few,3-10,18,10.442222222222222,10.17,2.767576037651541,3.710000000000001
vime::columnwise,vime,columnwise,few,>10,9,10.442222222222222,10.17,2.8527520825414263,3.710000000000001
vime::decoding,vime,decoding,few,2,291,10.034639175257732,8.83,3.4072777267618792,4.470000000000001
vime::decoding,vime,decoding,few,3-10,18,10.322222222222223,8.83,3.9479340175002853,4.640000000000001
vime::decoding,vime,decoding,few,>10,9,10.322222222222223,8.83,4.06943723928069,4.640000000000001
vime::encoding,vime,encoding,few,2,291,9.175910652920962,9.67,2.1089795159949114,3.6500000000000004
vime::encoding,vime,encoding,few,3-10,18,9.813333333333333,9.67,2.3533605508618827,3.370000000000001
vime::encoding,vime,encoding,few,>10,9,9.813333333333333,9.67,2.425788531591326,3.370000000000001
vime::materialize,vime,materialize,few,2,291,10.630309278350516,8.33,4.258218695151907,6.989999999999999
vime::materialize,vime,materialize,few,3-10,18,11.154444444444444,8.33,4.889037222942801,7.859999999999999
vime::materialize,vime,materialize,few,>10,9,11.154444444444444,8.33,5.039504219442403,7.859999999999999
vime::start,vime,start,few,2,291,10.340996563573883,8.33,3.8149232427748836,7.37
vime::start,vime,start,few,3-10,18,10.755555555555555,8.33,4.713887146097559,7.680000000000001
vime::start,vime,start,few,>10,9,10.755555555555555,8.33,4.858963652650406,7.680000000000001
