competitor,approx_normal(11),constant(3),heavy_tailed(9),highly_skewed(12),moderately_skewed(9),multimodal(14)
subtab|0.05_0.15_0.8|decoding,56.72727272727273,58.0,63.111111111111114,50.916666666666664,70.0,66.78571428571429
subtab|0.05_0.15_0.8|encoding,77.54545454545455,60.0,87.77777777777777,73.33333333333333,91.44444444444444,90.07142857142857
subtab|0.05_0.15_0.8|materialize,84.81818181818181,72.66666666666667,84.33333333333333,80.33333333333333,94.22222222222223,91.07142857142857
subtab|0.05_0.15_0.8|start,83.45454545454545,75.33333333333333,88.66666666666667,79.5,94.22222222222223,89.35714285714286
subtab|0.8_0.15_0.05|columnwise,54.45454545454545,54.666666666666664,47.44444444444444,47.916666666666664,79.0,64.78571428571429
subtab|0.8_0.15_0.05|decoding,47.90909090909091,58.333333333333336,51.666666666666664,50.25,47.333333333333336,54.214285714285715
subtab|0.8_0.15_0.05|encoding,50.09090909090909,53.0,52.77777777777778,58.5,68.11111111111111,65.28571428571429
subtab|0.8_0.15_0.05|materialize,65.27272727272727,71.33333333333333,52.333333333333336,55.083333333333336,69.77777777777777,70.42857142857143
subtab|0.8_0.15_0.05|start,70.81818181818181,71.33333333333333,51.666666666666664,68.33333333333333,75.66666666666667,71.42857142857143
tabm|0.05_0.15_0.8|columnwise,69.27272727272727,48.333333333333336,66.55555555555556,68.16666666666667,65.55555555555556,74.07142857142857
tabm|0.05_0.15_0.8|decoding,55.72727272727273,37.666666666666664,51.22222222222222,53.5,60.0,50.357142857142854
tabm|0.05_0.15_0.8|encoding,67.18181818181819,44.666666666666664,61.77777777777778,71.08333333333333,59.333333333333336,67.14285714285714
tabm|0.05_0.15_0.8|materialize,52.81818181818182,54.0,53.55555555555556,55.5,56.77777777777778,47.142857142857146
tabm|0.05_0.15_0.8|start,57.09090909090909,41.666666666666664,55.55555555555556,42.25,52.333333333333336,48.142857142857146
tabm|0.8_0.15_0.05|columnwise,36.0,13.333333333333334,32.111111111111114,56.833333333333336,29.0,49.214285714285715
tabm|0.8_0.15_0.05|decoding,31.727272727272727,27.333333333333332,44.333333333333336,42.0,38.333333333333336,41.785714285714285
tabm|0.8_0.15_0.05|encoding,38.45454545454545,12.0,34.0,62.583333333333336,27.333333333333332,48.142857142857146
tabm|0.8_0.15_0.05|materialize,30.272727272727273,39.666666666666664,29.555555555555557,29.416666666666668,19.11111111111111,26.285714285714285
tabm|0.8_0.15_0.05|start,34.0,31.0,37.0,24.5,21.444444444444443,30.0
tabnet|0.05_0.15_0.8|columnwise,79.27272727272727,94.0,76.55555555555556,76.91666666666667,78.22222222222223,72.42857142857143
tabnet|0.05_0.15_0.8|decoding,61.54545454545455,8.333333333333334,54.44444444444444,39.75,61.111111111111114,60.357142857142854
tabnet|0.05_0.15_0.8|encoding,77.63636363636364,95.66666666666667,79.22222222222223,74.66666666666667,73.55555555555556,71.85714285714286
tabnet|0.05_0.15_0.8|materialize,61.0,62.0,54.44444444444444,50.333333333333336,65.77777777777777,53.42857142857143
tabnet|0.05_0.15_0.8|start,63.36363636363637,60.333333333333336,60.44444444444444,48.833333333333336,64.66666666666667,49.0
tabnet|0.8_0.15_0.05|columnwise,66.63636363636364,93.66666666666667,56.44444444444444,76.16666666666667,53.666666666666664,73.71428571428571
tabnet|0.8_0.15_0.05|decoding,13.181818181818182,1.0,15.777777777777779,18.833333333333332,9.0,17.857142857142858
tabnet|0.8_0.15_0.05|encoding,68.72727272727273,94.0,54.22222222222222,76.66666666666667,57.666666666666664,76.42857142857143
tabnet|0.8_0.15_0.05|materialize,31.454545454545453,36.0,36.111111111111114,37.916666666666664,35.111111111111114,29.357142857142858
tabnet|0.8_0.15_0.05|start,31.90909090909091,31.333333333333332,33.44444444444444,34.083333333333336,26.11111111111111,32.857142857142854
